pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures	protective_expression_direction	protective_direction_label	max_h4	mean_h4	n_coloc	total_weight	max_gwas_z_abs	mr_ivw_beta	mr_ivw_se	mr_ivw_p	protective_push_z	weighted_protective_push	pushes_protective	strong_push	opposes_protective	gene_weight_fraction	mr_lincs_effect	mr_lincs_effect_se_from_mr	mr_lincs_precision_match	mr_lincs_positive	mr_lincs_strong_precision
BRD-K70792160	10-DEBC	CASS4	-0.8495377898216248	-0.8495377898216248	1	-1.0	decrease	0.983409927	0.97844285	2	2.0	6.8278888888888885	0.8164001879109127	0.1148251666029847	1.1609236659320596e-12	0.8495377898216248	1.6990755796432495	True	False	False	0.0833333333333333	0.693562811247796	0.09754831825179947	6.040163770420063	True	True
BRD-K70792160	10-DEBC	GSTK1	0.6579632759094238	0.6579632759094238	1	1.0	increase	0.857402737	0.857402737	1	1.0	5.481558935361216	-0.4262663954299771	0.1026084942460725	3.262858661820401e-05	0.6579632759094238	0.6579632759094238	True	False	False	0.0416666666666666	0.2804676339472096	0.06751262101027913	2.7333763740319665	True	True
BRD-K70792160	10-DEBC	RHOH	-0.5596238374710083	-0.5596238374710083	1	-1.0	decrease	0.872358023	0.872358023	1	1.0	4.324598917846089	0.7979161671425768	0.2544505355019307	0.001713626659781	0.5596238374710083	0.5596238374710083	True	False	False	0.0416666666666666	0.4465329074364873	0.1423965851241435	1.7548908142624016	True	False
BRD-K70792160	10-DEBC	EPHA1	0.07070192694664	0.07070192694664	1	1.0	increase	0.857755717	0.857755717	1	1.0	3.7814961832061065	-0.277405633275953	0.118801038386382	0.019541130467517	0.07070192694664	0.07070192694664	True	False	False	0.0416666666666666	0.019613112818462838	0.008399462337178955	0.16509209923463988	True	False
BRD-K70792160	10-DEBC	PICALM	0.122807539999485	0.122807539999485	1	-1.0	decrease	0.941694681	0.929841757	2	2.0	4.090147208121828	0.9858096206963995	0.2421713500298872	4.686983137973752e-05	-0.122807539999485	-0.24561507999897	False	False	True	0.0833333333333333	-0.12106485442555022	0.029740467755524656	-0.499914025381653	False	False
BRD-K70792160	10-DEBC	PLEKHA1	0.097657561302185	0.097657561302185	1	-1.0	decrease	0.973750604	0.9736530115	2	2.0	8.013560830860534	0.9718639565544818	0.121077829830582	1.0007201221865392e-15	-0.097657561302185	-0.19531512260437	False	False	True	0.0833333333333333	-0.09490986391460336	0.011824165589015586	-0.783874835280793	False	False
BRD-K70792160	10-DEBC	CTSH	-0.1708440780639648	-0.1708440780639648	1	1.0	increase	0.979826373	0.954322996	2	2.0	5.595764705882353	-0.6531917505468305	0.1164129687449566	2.0117491756135243e-08	-0.1708440780639648	-0.3416881561279296	False	False	True	0.0833333333333333	-0.11159394242116052	0.01988846631992126	-0.9586040423524133	False	False
BRD-K70792160	10-DEBC	PSMC3	-0.5681902170181274	-0.5681902170181274	1	1.0	increase	0.827476962	0.827476962	1	1.0	2.202657142857143	-0.6192485162211612	0.3088438194030099	0.0449572810782776	-0.5681902170181274	-0.5681902170181274	False	False	True	0.0416666666666666	-0.35185094881985496	0.17548203677130356	-1.1392520319816573	False	False
BRD-K70792160	10-DEBC	BIN1	0.2098465412855148	0.2098465412855148	1	-1.0	decrease	0.999914292	0.9982065285	4	4.0	5.939106382978723	1.0	0.1285664880564894	7.363544666516711e-15	-0.2098465412855148	-0.8393861651420592	False	False	True	0.1666666666666666	-0.2098465412855148	0.02697923284387975	-1.6322024849376973	False	False
BRD-K70792160	10-DEBC	CASP2	0.3684632480144501	0.3684632480144501	1	-1.0	decrease	0.980530944	0.928077414	2	2.0	4.934071661237785	1.0	0.2237099077513556	7.819228086089452e-06	-0.3684632480144501	-0.7369264960289001	False	False	True	0.0833333333333333	-0.3684632480144501	0.08242887922307748	-1.6470582448408224	False	False
BRD-K70792160	10-DEBC	USP6NL	0.4304885566234588	0.4304885566234588	1	-1.0	decrease	0.986739805	0.984928451	2	2.0	5.991691842900303	0.9291301181013883	0.1499155980473011	5.72985423972819e-10	-0.4304885566234588	-0.8609771132469176	False	False	True	0.0833333333333333	-0.3999798834568505	0.06453694941872527	-2.6680338047989482	False	False
BRD-K70792160	10-DEBC	RABEP1	0.5827516913414001	0.5827516913414001	1	-1.0	decrease	0.971720589	0.906779892	2	2.0	5.771982942430704	0.7555586841493029	0.1376531430306971	4.045385255710982e-08	-0.5827516913414001	-1.1655033826828003	False	False	True	0.0833333333333333	-0.44030310109568904	0.0802176019195984	-3.1986418283053664	False	False
BRD-K70792160	10-DEBC	ZYX	0.6536144018173218	0.6536144018173218	1	-1.0	decrease	0.999998542	0.9999970725	2	2.0	6.876576576576576	0.8048867209111468	0.1104578798294652	3.173557474406893e-13	-0.6536144018173218	-1.3072288036346436	False	False	True	0.0833333333333333	-0.5260855526190448	0.0721968610507455	-4.762770690794201	False	False
BRD-K61033289	15-delta-prostaglandin-j2	ZYX	-0.9177451133728028	-0.9177451133728028	1	-1.0	decrease	0.999998542	0.9999970725	2	2.0	6.876576576576576	0.8048867209111468	0.1104578798294652	3.173557474406893e-13	0.9177451133728028	1.8354902267456057	True	False	False	0.0833333333333333	0.7386808549348639	0.10137217944701198	6.687443721310836	True	True
BRD-K61033289	15-delta-prostaglandin-j2	RABEP1	-0.7573428153991699	-0.7573428153991699	1	-1.0	decrease	0.971720589	0.906779892	2	2.0	5.771982942430704	0.7555586841493029	0.1376531430306971	4.045385255710982e-08	0.7573428153991699	1.5146856307983398	True	False	False	0.0833333333333333	0.5722169410529253	0.10425061889141277	4.156947879681317	True	True
